state_class	gene	metric	n_donors	mean	median	ci_low	ci_high	positive_fraction
HSPC-marker-class	KIT	mean_deletion_recovery_shift	13	-0.024314466648950026	-0.026176244020462036	-0.0351645853334608	-0.01405901906546206	0.07692307692307693
HSPC-marker-class	KIT	mean_overexpression_recovery_shift	13	0.0038047293559289896	0.00351802259683609	-0.015164396159637432	0.020693095944499442	0.5384615384615384
HSPC-marker-class	KIT	bidirectional_recovery_score	13	0.014059597769608865	0.013823986053466797	0.0015820359327615454	0.02633074868040589	0.8461538461538461
megakaryocyte-marker-class	KIT	mean_deletion_recovery_shift	1	-0.03989692032337189	-0.03989692032337189	-0.03989692032337189	-0.03989692032337189	0.0
megakaryocyte-marker-class	KIT	mean_overexpression_recovery_shift	1	0.06835401803255081	0.06835401803255081	0.06835401803255081	0.06835401803255081	1.0
megakaryocyte-marker-class	KIT	bidirectional_recovery_score	1	0.05412546917796135	0.05412546917796135	0.05412546917796135	0.05412546917796135	1.0
HSPC-marker-class	SYK	mean_deletion_recovery_shift	14	-0.009379236759351832	-0.0007880468619987369	-0.022620717909636108	0.0009194993301727033	0.5
HSPC-marker-class	SYK	mean_overexpression_recovery_shift	14	0.0005520925998488175	-0.00046521981130354106	-0.006291021550922388	0.008496513151164554	0.5
HSPC-marker-class	SYK	bidirectional_recovery_score	14	0.0049656645860522985	0.0049452579114586115	-0.0015598349198366382	0.012564370477256098	0.5714285714285714
megakaryocyte-marker-class	SYK	mean_deletion_recovery_shift	2	-0.058742158114910126	-0.058742158114910126	-0.07227306067943573	-0.04521125555038452	0.0
megakaryocyte-marker-class	SYK	mean_overexpression_recovery_shift	2	0.02903675753623247	0.02903675753623247	0.025155914947390556	0.03291760012507439	1.0
megakaryocyte-marker-class	SYK	bidirectional_recovery_score	2	0.04388945922255516	0.04388945922255516	0.0390644297003746	0.04871448874473572	1.0
HSPC-marker-class	GSK3B	mean_deletion_recovery_shift	12	-0.0074815654661506414	-0.0018990362295880914	-0.017700771754122494	0.000548266862945941	0.4166666666666667
HSPC-marker-class	GSK3B	mean_overexpression_recovery_shift	12	0.0017383490048814565	0.0008172972011379898	-0.010823708972263072	0.015525768696776744	0.5833333333333334
HSPC-marker-class	GSK3B	bidirectional_recovery_score	12	0.004609957298574348	0.0011965450830757618	-0.003737275496435662	0.01310919123837567	0.5
megakaryocyte-marker-class	GSK3B	mean_deletion_recovery_shift	2	-0.026447427459061146	-0.026447427459061146	-0.047498904168605804	-0.005395950749516487	0.0
megakaryocyte-marker-class	GSK3B	mean_overexpression_recovery_shift	2	0.04066520230844617	0.04066520230844617	-0.00776356365531683	0.08909396827220917	0.5
megakaryocyte-marker-class	GSK3B	bidirectional_recovery_score	2	0.03355631302110851	0.03355631302110851	-0.0011838064529001713	0.06829643249511719	0.5
HSPC-marker-class	HIF1A	mean_deletion_recovery_shift	13	-0.004093644567407095	0.006727214436978102	-0.015073082020255523	0.00496590226673736	0.5384615384615384
HSPC-marker-class	HIF1A	mean_overexpression_recovery_shift	13	0.010067494102538778	0.011731371283531189	0.0018133554741955149	0.018413302035948546	0.6153846153846154
HSPC-marker-class	HIF1A	bidirectional_recovery_score	13	0.007080569129007367	0.003512062132358551	0.0008671628781415236	0.014590035923846209	0.6153846153846154
megakaryocyte-marker-class	HIF1A	mean_deletion_recovery_shift	2	-0.03079716837964952	-0.03079716837964952	-0.0678977370262146	0.00630340026691556	0.5
megakaryocyte-marker-class	HIF1A	mean_overexpression_recovery_shift	2	0.024674178566783667	0.024674178566783667	-0.007175118662416935	0.05652347579598427	0.5
megakaryocyte-marker-class	HIF1A	bidirectional_recovery_score	2	0.027735672425478697	0.027735672425478697	-0.006739259697496891	0.062210604548454285	0.5
HSPC-marker-class	TOP2A	mean_deletion_recovery_shift	13	-0.05496540794578882	-0.04505690187215805	-0.07322336423855562	-0.03827220615572655	0.0
HSPC-marker-class	TOP2A	mean_overexpression_recovery_shift	13	0.021204054539199345	0.02577049285173416	0.005708524078923242	0.039329711528262104	0.6923076923076923
HSPC-marker-class	TOP2A	bidirectional_recovery_score	13	0.03808473136562567	0.03400557115674019	0.028387952832361826	0.048448278396748576	0.9230769230769231
megakaryocyte-marker-class	TOP2A	mean_deletion_recovery_shift	1	-0.046818289905786514	-0.046818289905786514	-0.046818289905786514	-0.046818289905786514	0.0
megakaryocyte-marker-class	TOP2A	mean_overexpression_recovery_shift	1	0.047642700374126434	0.047642700374126434	0.047642700374126434	0.047642700374126434	1.0
megakaryocyte-marker-class	TOP2A	bidirectional_recovery_score	1	0.047230497002601624	0.047230497002601624	0.047230497002601624	0.047230497002601624	1.0
HSPC-marker-class	TERT	mean_deletion_recovery_shift	2	-0.020230597583577037	-0.020230597583577037	-0.036572106182575226	-0.003889088984578848	0.0
HSPC-marker-class	TERT	mean_overexpression_recovery_shift	2	-0.0006201467476785183	-0.0006201467476785183	-0.013083142228424549	0.011842848733067513	0.5
HSPC-marker-class	TERT	bidirectional_recovery_score	2	0.009805225767195225	0.009805225767195225	0.007865969091653824	0.011744482442736626	1.0
HSPC-marker-class	CD38	mean_deletion_recovery_shift	14	-0.014607980531374258	-0.012804855592548847	-0.02554114009627873	-0.0051460050146228545	0.2857142857142857
HSPC-marker-class	CD38	mean_overexpression_recovery_shift	14	-0.02323979469032825	-0.016090127639472485	-0.034271746620132555	-0.012564655672758822	0.14285714285714285
HSPC-marker-class	CD38	bidirectional_recovery_score	14	-0.00431590700255973	-0.0012261644005775452	-0.01268385843806235	0.00433285190790359	0.5
megakaryocyte-marker-class	CD38	mean_deletion_recovery_shift	1	-0.047863271087408066	-0.047863271087408066	-0.047863271087408066	-0.047863271087408066	0.0
megakaryocyte-marker-class	CD38	mean_overexpression_recovery_shift	1	0.03883585333824158	0.03883585333824158	0.03883585333824158	0.03883585333824158	1.0
megakaryocyte-marker-class	CD38	bidirectional_recovery_score	1	0.04334956407546997	0.04334956407546997	0.04334956407546997	0.04334956407546997	1.0
HSPC-marker-class	JAK2	mean_deletion_recovery_shift	14	-0.020226923208351115	-0.003585958736948669	-0.03633050066834715	-0.006024427777031512	0.21428571428571427
HSPC-marker-class	JAK2	mean_overexpression_recovery_shift	14	-0.00972558363823087	-0.0027943876339122653	-0.020463625509208733	-0.0003250858421129802	0.2857142857142857
HSPC-marker-class	JAK2	bidirectional_recovery_score	14	0.005250669749719756	0.0017812553560361266	1.2144474645278311e-05	0.010940597200117605	0.5714285714285714
megakaryocyte-marker-class	JAK2	mean_deletion_recovery_shift	1	-0.1266295313835144	-0.1266295313835144	-0.1266295313835144	-0.1266295313835144	0.0
megakaryocyte-marker-class	JAK2	mean_overexpression_recovery_shift	1	0.05874089524149895	0.05874089524149895	0.05874089524149895	0.05874089524149895	1.0
megakaryocyte-marker-class	JAK2	bidirectional_recovery_score	1	0.09268521517515182	0.09268521517515182	0.09268521517515182	0.09268521517515182	1.0
HSPC-marker-class	STAT5A	mean_deletion_recovery_shift	13	-0.038208322384609625	-0.02857969142496586	-0.05909270840840271	-0.021699258588397743	0.0
HSPC-marker-class	STAT5A	mean_overexpression_recovery_shift	13	-0.016784495315872706	-0.021180305629968643	-0.027852689748844847	-0.003973652719734957	0.15384615384615385
HSPC-marker-class	STAT5A	bidirectional_recovery_score	13	0.010711913606008658	0.006887566298246384	0.0020535059300108025	0.020174117551113528	0.6923076923076923
megakaryocyte-marker-class	STAT5A	mean_deletion_recovery_shift	2	-0.07330032531172037	-0.07330032531172037	-0.12198716402053833	-0.024613486602902412	0.0
megakaryocyte-marker-class	STAT5A	mean_overexpression_recovery_shift	2	0.004438042640686035	0.004438042640686035	-0.012457402423024178	0.021333487704396248	0.5
megakaryocyte-marker-class	STAT5A	bidirectional_recovery_score	2	0.03886918444186449	0.03886918444186449	0.02297348715364933	0.05476488173007965	1.0
HSPC-marker-class	STAT5B	mean_deletion_recovery_shift	10	-0.028889372502453624	-0.016952067147940397	-0.048156938700121825	-0.01203816384950189	0.1
HSPC-marker-class	STAT5B	mean_overexpression_recovery_shift	10	-0.0024673324078321457	-0.0028613326139748096	-0.014138444466516376	0.007569536287337542	0.4
HSPC-marker-class	STAT5B	bidirectional_recovery_score	10	0.013211019965820015	0.013379689771682024	0.00465427175280638	0.022349355312180706	0.7
HSPC-marker-class	PIM1	mean_deletion_recovery_shift	14	-0.03660323941897202	-0.014387793838977814	-0.05820621602917007	-0.017325001960229465	0.07142857142857142
HSPC-marker-class	PIM1	mean_overexpression_recovery_shift	14	0.008249395161068864	0.010976226534694433	-0.0006175231620935455	0.015739343688723498	0.7142857142857143
HSPC-marker-class	PIM1	bidirectional_recovery_score	14	0.022426317213103175	0.015091209672391415	0.013208637485513463	0.032556220250470294	1.0
megakaryocyte-marker-class	PIM1	mean_deletion_recovery_shift	3	-0.05395697522908449	-0.03456729277968407	-0.13636837899684906	0.009064746089279652	0.3333333333333333
megakaryocyte-marker-class	PIM1	mean_overexpression_recovery_shift	3	0.022618207304428022	0.014586751349270344	-0.004787262063473463	0.05805513262748718	0.6666666666666666
megakaryocyte-marker-class	PIM1	bidirectional_recovery_score	3	0.03828759118914604	0.046311214566230774	-0.006926003843545914	0.07547756284475327	0.6666666666666666
HSPC-marker-class	BCL2L1	mean_deletion_recovery_shift	13	-0.024954776351268474	-0.0013289150083437562	-0.05230275048256421	-0.0025626130869988418	0.38461538461538464
HSPC-marker-class	BCL2L1	mean_overexpression_recovery_shift	13	-0.00428927005291021	-0.0016658026725053787	-0.014337064117661122	0.005189405313565368	0.38461538461538464
HSPC-marker-class	BCL2L1	bidirectional_recovery_score	13	0.010332753183320165	0.006807520054280758	-0.001260764882989371	0.02236168460893588	0.6153846153846154
megakaryocyte-marker-class	BCL2L1	mean_deletion_recovery_shift	1	-0.03660629689693451	-0.03660629689693451	-0.03660629689693451	-0.03660629689693451	0.0
megakaryocyte-marker-class	BCL2L1	mean_overexpression_recovery_shift	1	0.09056700766086578	0.09056700766086578	0.09056700766086578	0.09056700766086578	1.0
megakaryocyte-marker-class	BCL2L1	bidirectional_recovery_score	1	0.06358665227890015	0.06358665227890015	0.06358665227890015	0.06358665227890015	1.0
