scenario_id,scenario_type,GeneSymbol,scenario_rank,scenario_score,formal_rank,in_formal_top30
exp_network_grid_exp_0.7000,experimental_network_weight_grid,ESR1,29,0.5511898531529187,,False
exp_network_grid_exp_0.7000,experimental_network_weight_grid,HSP90AA1,30,0.5510705225879651,13.0,True
exp_network_grid_exp_0.7500,experimental_network_weight_grid,CDK6,1,0.7971911433056083,1.0,True
exp_network_grid_exp_0.7500,experimental_network_weight_grid,CA2,2,0.7827924340209237,2.0,True
exp_network_grid_exp_0.7500,experimental_network_weight_grid,HSP90AB1,3,0.7131225838219185,3.0,True
exp_network_grid_exp_0.7500,experimental_network_weight_grid,PARP1,4,0.6951456156901124,4.0,True
exp_network_grid_exp_0.7500,experimental_network_weight_grid,ACHE,5,0.6862723583825974,5.0,True
exp_network_grid_exp_0.7500,experimental_network_weight_grid,HIF1A,6,0.6326898342862249,6.0,True
exp_network_grid_exp_0.7500,experimental_network_weight_grid,KIT,7,0.6155961097350153,7.0,True
exp_network_grid_exp_0.7500,experimental_network_weight_grid,CDK2,8,0.6052457123561599,9.0,True
exp_network_grid_exp_0.7500,experimental_network_weight_grid,CDK4,9,0.6027625431506254,8.0,True
exp_network_grid_exp_0.7500,experimental_network_weight_grid,SYK,10,0.6003431232737576,11.0,True
exp_network_grid_exp_0.7500,experimental_network_weight_grid,TOP2A,11,0.5966658218351778,12.0,True
exp_network_grid_exp_0.7500,experimental_network_weight_grid,TERT,12,0.5930788736362166,16.0,True
exp_network_grid_exp_0.7500,experimental_network_weight_grid,APEX1,13,0.5894120495089231,10.0,True
exp_network_grid_exp_0.7500,experimental_network_weight_grid,SIGMAR1,14,0.584178158815793,15.0,True
exp_network_grid_exp_0.7500,experimental_network_weight_grid,CHEK1,15,0.5786241502817778,14.0,True
exp_network_grid_exp_0.7500,experimental_network_weight_grid,ARG1,16,0.5750707107632576,19.0,True
exp_network_grid_exp_0.7500,experimental_network_weight_grid,PTPN11,17,0.5730822888281604,17.0,True
exp_network_grid_exp_0.7500,experimental_network_weight_grid,HSP90AA1,18,0.573046378356897,13.0,True
exp_network_grid_exp_0.7500,experimental_network_weight_grid,PTGS2,19,0.5718313097600184,18.0,True
exp_network_grid_exp_0.7500,experimental_network_weight_grid,CD38,20,0.5707402771858239,20.0,True
exp_network_grid_exp_0.7500,experimental_network_weight_grid,GSK3B,21,0.5607384123913437,24.0,True
exp_network_grid_exp_0.7500,experimental_network_weight_grid,MPO,22,0.5569331153747781,22.0,True
exp_network_grid_exp_0.7500,experimental_network_weight_grid,CCNB1,23,0.5542191144916682,25.0,True
exp_network_grid_exp_0.7500,experimental_network_weight_grid,AURKB,24,0.5482377082224708,29.0,True
exp_network_grid_exp_0.7500,experimental_network_weight_grid,MDM4,25,0.5471543996021475,21.0,True
exp_network_grid_exp_0.7500,experimental_network_weight_grid,TBXAS1,26,0.5465725812552464,28.0,True
exp_network_grid_exp_0.7500,experimental_network_weight_grid,G6PD,27,0.5425213082816897,26.0,True
exp_network_grid_exp_0.7500,experimental_network_weight_grid,PIK3CG,28,0.5411893363826099,30.0,True
exp_network_grid_exp_0.7500,experimental_network_weight_grid,FLT3,29,0.5385314122848759,,False
exp_network_grid_exp_0.7500,experimental_network_weight_grid,CDK1,30,0.5346002671338081,,False
exp_network_grid_exp_0.7826,experimental_network_weight_grid,CDK6,1,0.7934656777610511,1.0,True
exp_network_grid_exp_0.7826,experimental_network_weight_grid,CA2,2,0.7761705714789083,2.0,True
exp_network_grid_exp_0.7826,experimental_network_weight_grid,HSP90AB1,3,0.7296351599543361,3.0,True
exp_network_grid_exp_0.7826,experimental_network_weight_grid,PARP1,4,0.6882787111205271,4.0,True
exp_network_grid_exp_0.7826,experimental_network_weight_grid,ACHE,5,0.673509143697244,5.0,True
exp_network_grid_exp_0.7826,experimental_network_weight_grid,HIF1A,6,0.6261401169267444,6.0,True
exp_network_grid_exp_0.7826,experimental_network_weight_grid,KIT,7,0.619763284632841,7.0,True
exp_network_grid_exp_0.7826,experimental_network_weight_grid,CDK4,8,0.6038938765433445,8.0,True
exp_network_grid_exp_0.7826,experimental_network_weight_grid,CDK2,9,0.5959020295327597,9.0,True
exp_network_grid_exp_0.7826,experimental_network_weight_grid,APEX1,10,0.5943107527488327,10.0,True
exp_network_grid_exp_0.7826,experimental_network_weight_grid,SYK,11,0.5907862844029841,11.0,True
exp_network_grid_exp_0.7826,experimental_network_weight_grid,TOP2A,12,0.5903646155385169,12.0,True
exp_network_grid_exp_0.7826,experimental_network_weight_grid,HSP90AA1,13,0.5873784582272209,13.0,True
exp_network_grid_exp_0.7826,experimental_network_weight_grid,CHEK1,14,0.5787059883308338,14.0,True
exp_network_grid_exp_0.7826,experimental_network_weight_grid,SIGMAR1,15,0.575519238171896,15.0,True
exp_network_grid_exp_0.7826,experimental_network_weight_grid,TERT,16,0.5753866507248862,16.0,True
