scenario_id,scenario_type,note,top30_overlap_count,top30_overlap_fraction,top30_jaccard,spearman_rank_within_overlap,top30_genes,weights_json
deterministic_jitter_176,deterministic_weight_jitter_pm25pct,"Each non-docking evidence weight multiplied by a deterministic random factor in [0.75, 1.25], then renormalized.",27,0.9,0.8181818181818182,0.9804639804639804,"CDK6, CA2, HSP90AB1, PARP1, ACHE, HIF1A, KIT, CDK4, APEX1, HSP90AA1, CDK2, TOP2A, CHEK1, SYK, PTPN11, PTGS2, ARG1, SIGMAR1, TERT, MDM4, PRKDC, CD38, MPO, CCNB1, G6PD, MIF, TP53, TBXAS1, HDAC1, PGD","{""score_AA_direction_recovery"": 0.11500006792117812, ""score_CD34_expression"": 0.1395123123488209, ""score_CD34_marker_context"": 0.10430245497416415, ""score_GSE165870_bulk_support"": 0.05839477946777413, ""score_WGCNA_module_strength"": 0.22374979779393012, ""score_module_pathology_importance"": 0.16112491599857398, ""score_network_pharmacology_hit"": 0.19791567149555864}"
deterministic_jitter_177,deterministic_weight_jitter_pm25pct,"Each non-docking evidence weight multiplied by a deterministic random factor in [0.75, 1.25], then renormalized.",28,0.9333333333333333,0.875,0.9469074986316366,"CDK6, CA2, HSP90AB1, PARP1, ACHE, HIF1A, KIT, SYK, CDK4, CDK2, TERT, APEX1, TOP2A, CHEK1, ARG1, SIGMAR1, CD38, GSK3B, HSP90AA1, PTGS2, PTPN11, MPO, PIK3CG, CCNB1, FLT3, IGF1R, MDM4, TBXAS1, G6PD, AURKB","{""score_AA_direction_recovery"": 0.10413862082160921, ""score_CD34_expression"": 0.1346158461651433, ""score_CD34_marker_context"": 0.13663849279419268, ""score_GSE165870_bulk_support"": 0.05635964336579084, ""score_WGCNA_module_strength"": 0.1996875774058547, ""score_module_pathology_importance"": 0.11480468289815517, ""score_network_pharmacology_hit"": 0.2537551365492541}"
deterministic_jitter_178,deterministic_weight_jitter_pm25pct,"Each non-docking evidence weight multiplied by a deterministic random factor in [0.75, 1.25], then renormalized.",29,0.9666666666666667,0.9354838709677419,0.957142857142857,"CDK6, CA2, HSP90AB1, PARP1, ACHE, HIF1A, CDK4, HSP90AA1, KIT, APEX1, SYK, TOP2A, CDK2, SIGMAR1, TERT, CD38, PTPN11, CHEK1, MIF, ARG1, PTGS2, MPO, MDM4, GSK3B, PRKDC, CCNB1, AURKB, PIK3CG, G6PD, PGD","{""score_AA_direction_recovery"": 0.10520606796907807, ""score_CD34_expression"": 0.16590706308389414, ""score_CD34_marker_context"": 0.09587448622475364, ""score_GSE165870_bulk_support"": 0.05329148994339733, ""score_WGCNA_module_strength"": 0.25251288813385164, ""score_module_pathology_importance"": 0.11535464219288434, ""score_network_pharmacology_hit"": 0.2118533624521408}"
deterministic_jitter_179,deterministic_weight_jitter_pm25pct,"Each non-docking evidence weight multiplied by a deterministic random factor in [0.75, 1.25], then renormalized.",26,0.8666666666666667,0.7647058823529411,0.922051282051282,"CDK6, CA2, HSP90AB1, PARP1, ACHE, KIT, HIF1A, CDK4, APEX1, HSP90AA1, CDK2, CHEK1, TOP2A, MDM4, PTPN11, PRKDC, SYK, PTGS2, SIGMAR1, TP53, HDAC1, PGD, TERT, CD38, ARG1, MIF, G6PD, PIK3CA, CCNB1, MPO","{""score_AA_direction_recovery"": 0.10518378878807666, ""score_CD34_expression"": 0.13528030334348926, ""score_CD34_marker_context"": 0.12373317861493252, ""score_GSE165870_bulk_support"": 0.035967464516792516, ""score_WGCNA_module_strength"": 0.2672666313794354, ""score_module_pathology_importance"": 0.16321304373669623, ""score_network_pharmacology_hit"": 0.16935558962057737}"
deterministic_jitter_180,deterministic_weight_jitter_pm25pct,"Each non-docking evidence weight multiplied by a deterministic random factor in [0.75, 1.25], then renormalized.",30,1.0,1.0,0.971523915461624,"CDK6, CA2, HSP90AB1, PARP1, ACHE, HIF1A, CDK4, KIT, HSP90AA1, APEX1, SYK, CDK2, TOP2A, CHEK1, TERT, SIGMAR1, ARG1, MPO, CD38, PTPN11, PTGS2, CCNB1, MIF, GSK3B, PRKDC, MDM4, TBXAS1, G6PD, AURKB, PIK3CG","{""score_AA_direction_recovery"": 0.11299775707184333, ""score_CD34_expression"": 0.16075014715179486, ""score_CD34_marker_context"": 0.09773777393378419, ""score_GSE165870_bulk_support"": 0.06676432669921108, ""score_WGCNA_module_strength"": 0.2031045566353666, ""score_module_pathology_importance"": 0.13545712513169952, ""score_network_pharmacology_hit"": 0.22318831337630038}"
deterministic_jitter_181,deterministic_weight_jitter_pm25pct,"Each non-docking evidence weight multiplied by a deterministic random factor in [0.75, 1.25], then renormalized.",29,0.9666666666666667,0.9354838709677419,0.9507389162561575,"CDK6, CA2, HSP90AB1, ACHE, PARP1, HIF1A, KIT, CDK2, CDK4, SYK, TOP2A, TERT, APEX1, CHEK1, SIGMAR1, ARG1, PTGS2, PTPN11, HSP90AA1, CD38, GSK3B, MDM4, PIK3CG, CCNB1, G6PD, TBXAS1, AURKB, MPO, FLT3, PRKDC","{""score_AA_direction_recovery"": 0.09473227269843867, ""score_CD34_expression"": 0.1216503242871978, ""score_CD34_marker_context"": 0.12137855498428647, ""score_GSE165870_bulk_support"": 0.05557960605243067, ""score_WGCNA_module_strength"": 0.244092024109314, ""score_module_pathology_importance"": 0.13332590746703596, ""score_network_pharmacology_hit"": 0.22924131040129642}"
deterministic_jitter_182,deterministic_weight_jitter_pm25pct,"Each non-docking evidence weight multiplied by a deterministic random factor in [0.75, 1.25], then renormalized.",27,0.9,0.8181818181818182,0.9249084249084248,"CDK6, CA2, HSP90AB1, PARP1, ACHE, HIF1A, KIT, HSP90AA1, CDK4, APEX1, TOP2A, CDK2, SYK, CHEK1, PTPN11, PRKDC, SIGMAR1, MIF, MDM4, PTGS2, CD38, MPO, TERT, ARG1, PGD, CCNB1, HDAC1, G6PD, TP53, AURKB","{""score_AA_direction_recovery"": 0.13309868733108546, ""score_CD34_expression"": 0.16099355738321933, ""score_CD34_marker_context"": 0.09182580048615421, ""score_GSE165870_bulk_support"": 0.040637219289249356, ""score_WGCNA_module_strength"": 0.2345280385987217, ""score_module_pathology_importance"": 0.15360939673934704, ""score_network_pharmacology_hit"": 0.1853073001722229}"
deterministic_jitter_183,deterministic_weight_jitter_pm25pct,"Each non-docking evidence weight multiplied by a deterministic random factor in [0.75, 1.25], then renormalized.",27,0.9,0.8181818181818182,0.9884004884004883,"CDK6, CA2, HSP90AB1, ACHE, PARP1, KIT, HIF1A, CDK2, TOP2A, CDK4, APEX1, SYK, CHEK1, HSP90AA1, SIGMAR1, PTPN11, TERT, PTGS2, MDM4, ARG1, CD38, PRKDC, G6PD, HDAC1, GSK3B, TP53, CCNB1, AURKB, TBXAS1, PGD","{""score_AA_direction_recovery"": 0.08788873281658786, ""score_CD34_expression"": 0.12650990936197298, ""score_CD34_marker_context"": 0.10632551357859657, ""score_GSE165870_bulk_support"": 0.04981737407912735, ""score_WGCNA_module_strength"": 0.27342535636158904, ""score_module_pathology_importance"": 0.15212440066519967, ""score_network_pharmacology_hit"": 0.2039087131369265}"
deterministic_jitter_184,deterministic_weight_jitter_pm25pct,"Each non-docking evidence weight multiplied by a deterministic random factor in [0.75, 1.25], then renormalized.",27,0.9,0.8181818181818182,0.8858363858363858,"CDK6, CA2, HSP90AB1, PARP1, ACHE, HSP90AA1, CDK4, APEX1, KIT, HIF1A, TOP2A, SYK, SIGMAR1, CDK2, MIF, PTPN11, PRKDC, CHEK1, CD38, MDM4, TERT, PGD, PTGS2, ARG1, MPO, HDAC1, CCNB1, TP53, G6PD, GSK3B","{""score_AA_direction_recovery"": 0.13508581412022863, ""score_CD34_expression"": 0.1687935806711181, ""score_CD34_marker_context"": 0.08897303968399924, ""score_GSE165870_bulk_support"": 0.05567280939914999, ""score_WGCNA_module_strength"": 0.2523814507465727, ""score_module_pathology_importance"": 0.12111141946482731, ""score_network_pharmacology_hit"": 0.17798188591410405}"
deterministic_jitter_185,deterministic_weight_jitter_pm25pct,"Each non-docking evidence weight multiplied by a deterministic random factor in [0.75, 1.25], then renormalized.",30,1.0,1.0,0.9866518353726361,"CDK6, CA2, HSP90AB1, PARP1, ACHE, HIF1A, KIT, CDK4, CDK2, SYK, APEX1, TOP2A, HSP90AA1, TERT, SIGMAR1, CHEK1, PTPN11, ARG1, CD38, PTGS2, GSK3B, MPO, MDM4, CCNB1, PRKDC, TBXAS1, PIK3CG, G6PD, AURKB, MIF","{""score_AA_direction_recovery"": 0.11916984824879245, ""score_CD34_expression"": 0.13878151794663973, ""score_CD34_marker_context"": 0.11011623599697888, ""score_GSE165870_bulk_support"": 0.04980000583678052, ""score_WGCNA_module_strength"": 0.2238395142277348, ""score_module_pathology_importance"": 0.12971331107937925, ""score_network_pharmacology_hit"": 0.22857956666369433}"
