id,name,display_label,full_label,panel,layer,node_type,visual_class,fill_group,core_role,formal_rank,formal_score,strict_status,strict_module,source_role,evidence_boundary,layout_x,layout_y
A_TGT_SIGMAR1,A_TGT_SIGMAR1,15  SIGMAR1,SIGMAR1,A,Top30,Target,Target_noncore,STATUS_FDR,top30_priority_candidate,15,57.55192381845957,contrast_specific_FDR_module_support,lightyellow,prespecified Top30 candidate,Candidate priority annotation; not a final or causal target.,291.0763671448629,1369.4066410273279
A_TGT_TERT,A_TGT_TERT,16  TERT,TERT,A,Top30,Target,Target_core_mechanism,STATUS_UNASSIGNED,core10_mechanism_perturbation_candidate,16,57.53866507508347,projection_only_not_in_strict_top5000,not assigned,prespecified Top30 candidate,Candidate priority annotation; not a final or causal target.,7.074501697304024e-13,1400.0
A_TGT_PTPN11,A_TGT_PTPN11,17  PTPN11,PTPN11,A,Top30,Target,Target_noncore,STATUS_NOMINAL,top30_priority_candidate,17,57.292317637911296,nominal_module_context,greenyellow,prespecified Top30 candidate,Candidate priority annotation; not a final or causal target.,-291.0763671448628,1369.4066410273279
A_TGT_PTGS2,A_TGT_PTGS2,18  PTGS2,PTGS2,A,Top30,Target,Target_noncore,STATUS_UNASSIGNED,top30_priority_candidate,18,56.65453431485879,projection_only_not_in_strict_top5000,not assigned,prespecified Top30 candidate,Candidate priority annotation; not a final or causal target.,-569.4313003061203,1278.963640699641
A_TGT_ARG1,A_TGT_ARG1,19  ARG1,ARG1,A,Top30,Target,Target_noncore,STATUS_UNASSIGNED,top30_priority_candidate,19,56.4415071362566,projection_only_not_in_strict_top5000,not assigned,prespecified Top30 candidate,Candidate priority annotation; not a final or causal target.,-822.8993532094621,1132.6237921249262
A_TGT_CD38,A_TGT_CD38,20  CD38,CD38,A,Top30,Target,Target_core_mechanism,STATUS_NONE,core10_mechanism_perturbation_candidate,20,56.33118733049547,no_prespecified_module_contrast_support,lightcyan,prespecified Top30 candidate,Candidate priority annotation; not a final or causal target.,-1040.4027556683518,936.7828489024017
A_TGT_MDM4,A_TGT_MDM4,21  MDM4,MDM4,A,Top30,Target,Target_noncore,STATUS_FDR,top30_priority_candidate,21,55.64509677007915,contrast_specific_FDR_module_support,turquoise,prespecified Top30 candidate,Candidate priority annotation; not a final or causal target.,-1212.4355652982138,700.0000000000005
A_TGT_MPO,A_TGT_MPO,22  MPO,MPO,A,Top30,Target,Target_noncore,STATUS_FDR,top30_priority_candidate,22,54.890440011081985,contrast_specific_FDR_module_support,blue,prespecified Top30 candidate,Candidate priority annotation; not a final or causal target.,-1331.4791228132149,432.6237921249265
A_TGT_PRKDC,A_TGT_PRKDC,23  PRKDC,PRKDC,A,Top30,Target,Target_noncore,STATUS_FDR,top30_priority_candidate,23,54.71872594659365,contrast_specific_FDR_module_support,turquoise,prespecified Top30 candidate,Candidate priority annotation; not a final or causal target.,-1392.3306535155825,146.33984857471583
A_TGT_GSK3B,A_TGT_GSK3B,"24
GSK3B",GSK3B,A,Top30,Target,Target_core_direct,STATUS_NONE,core10_direct_priority_candidate,24,54.673239333423915,no_prespecified_module_contrast_support,purple,prespecified Top30 candidate,Candidate priority annotation; not a final or causal target.,-1392.3306535155828,-146.33984857471427
A_TGT_CCNB1,A_TGT_CCNB1,25  CCNB1,CCNB1,A,Top30,Target,Target_noncore,STATUS_FDR,top30_priority_candidate,25,54.60723991893139,contrast_specific_FDR_module_support,blue,prespecified Top30 candidate,Candidate priority annotation; not a final or causal target.,-1331.4791228132149,-432.6237921249261
A_TGT_G6PD,A_TGT_G6PD,26  G6PD,G6PD,A,Top30,Target,Target_noncore,STATUS_NONE,top30_priority_candidate,26,54.1033457548013,no_prespecified_module_contrast_support,yellow,prespecified Top30 candidate,Candidate priority annotation; not a final or causal target.,-1212.435565298214,-700.0000000000001
A_TGT_MIF,A_TGT_MIF,27  MIF,MIF,A,Top30,Target,Target_noncore,STATUS_FDR,top30_priority_candidate,27,53.89438931387487,contrast_specific_FDR_module_support,magenta,prespecified Top30 candidate,Candidate priority annotation; not a final or causal target.,-1040.4027556683516,-936.782848902402
A_TGT_TBXAS1,A_TGT_TBXAS1,28  TBXAS1,TBXAS1,A,Top30,Target,Target_noncore,STATUS_UNASSIGNED,top30_priority_candidate,28,53.80934079860913,projection_only_not_in_strict_top5000,not assigned,prespecified Top30 candidate,Candidate priority annotation; not a final or causal target.,-822.8993532094626,-1132.6237921249262
A_TGT_AURKB,A_TGT_AURKB,29  AURKB,AURKB,A,Top30,Target,Target_noncore,STATUS_NONE,top30_priority_candidate,29,53.80161593046072,no_prespecified_module_contrast_support,darkred,prespecified Top30 candidate,Candidate priority annotation; not a final or causal target.,-569.4313003061201,-1278.9636406996412
A_TGT_PIK3CG,A_TGT_PIK3CG,30  PIK3CG,PIK3CG,A,Top30,Target,Target_noncore,STATUS_UNASSIGNED,top30_priority_candidate,30,53.45711100591184,projection_only_not_in_strict_top5000,not assigned,prespecified Top30 candidate,Candidate priority annotation; not a final or causal target.,-291.0763671448625,-1369.4066410273279
ANN_A,ANN_A,"A  Herb–compound–prioritized
target network","A  Herb–compound–prioritized
target network",annotation,Layout annotation,Annotation,Annotation,ANNOTATION,not_applicable,,,not_applicable,not_applicable,layout only,Not a data node.,0.0,-1800.0
