time_ns	protein_sasa_nm2	protein_sasa_output_group_nm2
4.78	328.293	328.293
4.79	327.659	327.659
4.8	329.29	329.29
4.81	331.306	331.306
4.82	330.864	330.864
4.83	329.063	329.063
4.84	335.04	335.04
4.85	329.202	329.202
4.86	332.113	332.113
4.87	333.061	333.061
4.88	333.387	333.387
4.89	333.078	333.078
4.9	333.583	333.583
4.91	337.68	337.68
4.92	335.85	335.85
4.93	335.653	335.653
4.94	330.951	330.951
4.95	333.472	333.472
4.96	333.66	333.66
4.97	330.84	330.84
4.98	330.782	330.782
4.99	327.978	327.978
5.0	332.602	332.602
5.01	330.208	330.208
5.02	332.077	332.077
5.03	336.395	336.395
5.04	334.703	334.703
5.05	336.149	336.149
5.06	332.881	332.881
5.07	331.782	331.782
5.08	334.664	334.664
5.09	333.449	333.449
5.1	330.469	330.469
5.11	331.766	331.766
5.12	333.486	333.486
5.13	332.254	332.254
5.14	335.001	335.001
5.15	334.277	334.277
5.16	332.776	332.776
5.17	338.308	338.308
5.18	334.277	334.277
5.19	335.875	335.875
5.2	333.853	333.853
5.21	333.155	333.155
5.22	337.75	337.75
5.23	331.424	331.424
5.24	335.765	335.765
5.25	338.256	338.256
5.26	334.945	334.945
5.27	336.11	336.11
5.28	337.243	337.243
5.29	340.878	340.878
5.3	335.058	335.058
5.31	334.333	334.333
5.32	335.583	335.583
5.33	333.257	333.257
5.34	333.051	333.051
5.35	335.05	335.05
5.36	336.828	336.828
5.37	336.012	336.012
5.38	334.417	334.417
5.39	331.165	331.165
5.4	331.961	331.961
5.41	332.813	332.813
5.42	334.218	334.218
5.43	332.839	332.839
5.44	327.184	327.184
5.45	325.054	325.054
5.46	330.4	330.4
5.47	327.791	327.791
5.48	330.874	330.874
5.49	329.583	329.583
5.5	326.934	326.934
5.51	327.497	327.497
5.52	327.156	327.156
5.53	331.402	331.402
5.54	326.871	326.871
5.55	331.541	331.541
5.56	332.147	332.147
5.57	326.628	326.628
5.58	328.877	328.877
5.59	331.018	331.018
5.6	328.565	328.565
5.61	326.093	326.093
5.62	329.654	329.654
5.63	330.829	330.829
5.64	328.899	328.899
5.65	328.312	328.312
5.66	325.791	325.791
5.67	327.601	327.601
5.68	328.284	328.284
5.69	327.458	327.458
5.7	329.389	329.389
5.71	325.208	325.208
5.72	330.369	330.369
5.73	329.761	329.761
5.74	326.829	326.829
5.75	330.476	330.476
5.76	328.158	328.158
5.77	325.266	325.266
5.78	326.831	326.831
5.79	326.835	326.835
5.8	330.272	330.272
5.81	326.773	326.773
5.82	330.424	330.424
