"gene","distance","Z","FC","p.value","p.adj"
"DPY30",2.3793380376686e-10,-1.20589768503339,1.4902319652841e-07,0.999691988460056,0.99999999994277
"EPRS",2.37504008640661e-10,-1.20621669338693,1.48485302423145e-07,0.999692544841075,0.99999999994277
"TBRG1",2.3578635867646e-10,-1.20749657893516,1.46345351025572e-07,0.999694768383826,0.99999999994277
"TMEM230",2.34326818423349e-10,-1.20859046802575,1.44539174967774e-07,0.999696657796815,0.99999999994277
"TCF12",2.33517367965643e-10,-1.20919966487487,1.43542317447119e-07,0.999697705651581,0.99999999994277
"UBE2K",2.32851307906439e-10,-1.20970231178102,1.42724635623007e-07,0.99969856788373,0.99999999994277
"CDK2",2.29806217631116e-10,-1.21201621413339,1.39016109157423e-07,0.999702509832656,0.99999999994277
"ARL4C",2.28364752511527e-10,-1.21312078240489,1.37277614797332e-07,0.99970437584692,0.99999999994277
"ISG20",2.24276916913437e-10,-1.21628622761387,1.32406935525543e-07,0.999709667656928,0.99999999994277
"FAM136A",2.23654330861168e-10,-1.21677268757844,1.31672840423282e-07,0.999710473610843,0.99999999994277
"LYZ",2.23402051792408e-10,-1.21697013911662,1.31375957581469e-07,0.999710800192691,0.99999999994277
"TRPM7",2.22508660270265e-10,-1.21767091962234,1.30327305768613e-07,0.999711956711365,0.99999999994277
"XBP1",2.20346198375692e-10,-1.21937725696444,1.27806429924581e-07,0.999714756074807,0.99999999994277
"POP5",2.18373160633622e-10,-1.22094676361335,1.25527852600399e-07,0.999717310223736,0.99999999994277
"IRAK3",2.17053946205226e-10,-1.22200300046758,1.24015780730323e-07,0.999719017981296,0.99999999994277
"UBE2D2",2.16635266192079e-10,-1.22233937577955,1.23537808760792e-07,0.999719559973518,0.99999999994277
"PIN4",2.15788310536577e-10,-1.22302155237699,1.22573731994831e-07,0.999720656379753,0.99999999994277
"C1orf162",2.14873364909853e-10,-1.22376108904018,1.21536506720333e-07,0.999721840800785,0.99999999994277
"MECOM",2.13320068322351e-10,-1.22502283294507,1.19785709008358e-07,0.999723851583823,0.99999999994277
"KDM5B",2.1031553489845e-10,-1.22748605592612,1.16435197829785e-07,0.999727741030889,0.99999999994277
"SLTM",2.09856526245531e-10,-1.22786503448191,1.15927518334101e-07,0.999728335229591,0.99999999994277
"CBR1",2.096790851726e-10,-1.22801172944396,1.15731559627017e-07,0.9997285649317,0.99999999994277
"PRELID1",2.09581337263031e-10,-1.22809258578924,1.15623681617265e-07,0.999728691468924,0.99999999994277
"AIP",2.06880371936324e-10,-1.23033976388329,1.12662700309369e-07,0.999732187939159,0.99999999994277
"ATXN10",2.06826907308966e-10,-1.23038450058446,1.1260447641019e-07,0.999732257150517,0.99999999994277
"PSMB5",2.06135097855973e-10,-1.2309642751025,1.11852441212399e-07,0.999733152715943,0.99999999994277
"SERP1",2.04216230774063e-10,-1.2325812136803,1.09779713203419e-07,0.999735636739556,0.99999999994277
"CDC40",2.01869529085461e-10,-1.23457656354619,1.07271195179356e-07,0.999738674606257,0.99999999994277
"CALR",2.01051026536583e-10,-1.23527722254369,1.06403072624368e-07,0.999739734179211,0.99999999994277
"EXOC4",1.97541364715637e-10,-1.23830973755091,1.02720631134358e-07,0.999744277528224,0.99999999994277
"S100A11",1.95183125277165e-10,-1.24037355860011,1.00282722294821e-07,0.999747330330855,0.99999999994277
"SERPINA1",1.94084659002278e-10,-1.24134223058791,9.91571412510391e-08,0.999748752324179,0.99999999994277
"FBXL5",1.89439564459514e-10,-1.24549143255956,9.44676153749224e-08,0.999754765520568,0.99999999994277
"COX6B1",1.88486429086312e-10,-1.24635364083278,9.35194088693628e-08,0.999755999379242,0.99999999994277
"SRSF9",1.86979726792274e-10,-1.24772430289168,9.20302541391401e-08,0.999757949844777,0.99999999994277
"COPZ1",1.86192813857064e-10,-1.24844395364994,9.12572568992961e-08,0.999758968524157,0.99999999994277
"CFD",1.84742411586712e-10,-1.2497772775785,8.98410453621087e-08,0.999760846107841,0.99999999994277
"AHSP",1.83951169804475e-10,-1.25050845711081,8.90731246717437e-08,0.999761870391028,0.99999999994277
"MDM4",1.83950040773809e-10,-1.25050950237315,8.90720312730905e-08,0.999761871852588,0.99999999994277
"NDUFB11",1.8373949961928e-10,-1.25070451917081,8.88682520719248e-08,0.999762144403621,0.99999999994277
"RWDD1",1.82760864970525e-10,-1.25161352971657,8.79241116785145e-08,0.999763411271778,0.99999999994277
"TMEM160",1.7613951755941e-10,-1.25787644856999,8.16686138741787e-08,0.99977198277925,0.99999999994277
"SLC25A37",1.75631510748139e-10,-1.25836529312887,8.11982096823232e-08,0.99977264040736,0.99999999994277
"LBH",1.73814083538544e-10,-1.26012420373571,7.95264333414642e-08,0.999774993114441,0.99999999994277
"NCF1",1.70445905989156e-10,-1.26342626997083,7.64741622212366e-08,0.999779353308422,0.99999999994277
"BCCIP",1.69390094866853e-10,-1.26447293631777,7.55296725853538e-08,0.999780720083551,0.99999999994277
"RBM17",1.69046123381285e-10,-1.26481514293257,7.52232358300618e-08,0.999781165363642,0.99999999994277
"RP11-160E2.6",1.65318157462864e-10,-1.26856299966644,7.19420306406659e-08,0.999785991313093,0.99999999994277
"LSM3",1.59567165456934e-10,-1.27449007219408,6.70237372115503e-08,0.999793436122777,0.99999999994277
"UQCRFS1",1.57033565326647e-10,-1.27715984994562,6.49122348803129e-08,0.999796715934468,0.99999999994277
"S100A10",1.53087214503429e-10,-1.28139320329058,6.16906606877739e-08,0.99980182458892,0.99999999994277
"PAG1",1.51653138415409e-10,-1.28295489646645,6.05402742842316e-08,0.999803681037961,0.99999999994277
"CHRAC1",1.498026494278e-10,-1.28498897652541,5.90718494826918e-08,0.999806076544403,0.99999999994277
"IGKV3-20",1.49370579581263e-10,-1.28546702978014,5.87315837088717e-08,0.999806635870132,0.99999999994277
"NUCB2",1.48074203994349e-10,-1.2869085604727,5.7716553937849e-08,0.999808314062272,0.99999999994277
"ARHGEF1",1.4680817178029e-10,-1.28832688698564,5.67338218135287e-08,0.999809952974121,0.99999999994277
"DRAP1",1.44858173113599e-10,-1.29053221627419,5.52366825052365e-08,0.999812477298453,0.99999999994277
"DNAJA1",1.43586247762004e-10,-1.29198451378983,5.42709311052058e-08,0.999814123839126,0.99999999994277
"HIST1H4H",1.40075298379425e-10,-1.29605168671933,5.16493299870117e-08,0.999818668855038,0.99999999994277
"LSM6",1.38642977126989e-10,-1.29773619872516,5.05984636947589e-08,0.999820523032407,0.99999999994277
"CD8B",1.38559770797576e-10,-1.29783451553932,5.05377487681242e-08,0.99982063074518,0.99999999994277
"AHNAK",1.38508621642576e-10,-1.29789497877047,5.0500443769533e-08,0.9998206969591,0.99999999994277
"CTSS",1.36155313633109e-10,-1.30069784667486,4.87989828016611e-08,0.999823743377947,0.99999999994277
"POLR2A",1.35960714753081e-10,-1.30093148502189,4.86595913825026e-08,0.999823995291293,0.99999999994277
"FOSB",1.35110126467783e-10,-1.30195610947666,4.80526541497666e-08,0.999825096400104,0.99999999994277
"EID1",1.34506776610501e-10,-1.30268628456571,4.7624443060572e-08,0.999825877452296,0.99999999994277
"GRN",1.34257778673528e-10,-1.30298844544148,4.74482822411614e-08,0.999826199786646,0.99999999994277
"LONP2",1.31191354926662e-10,-1.3067497289903,4.53056133647147e-08,0.999830169352496,0.99999999994277
