"gene","distance","Z","FC","p.value","p.adj"
"SNRPA1",2.68938624172409e-09,-0.0719230265937602,0.000672277417157271,0.979314517093311,0.99999999971548
"STAT3",2.68805665767888e-09,-0.0720844125149493,0.000671612857814734,0.979324741333139,0.99999999971548
"EIF5A",2.67476005505142e-09,-0.0737021952097722,0.000664984959919309,0.97942698977895,0.99999999971548
"DYNC1H1",2.67177247576571e-09,-0.0740666529017661,0.000663500276636474,0.979449963764592,0.99999999971548
"SSU72",2.66394462137873e-09,-0.0750232644420019,0.000659618078483726,0.979510158738001,0.99999999971548
"TMEM18",2.65133293159603e-09,-0.0765696454487443,0.000653387313187718,0.979607140901119,0.99999999971548
"FAM110A",2.64805428685128e-09,-0.0769727039235746,0.000651772351660324,0.979632353278543,0.99999999971548
"OXR1",2.64706717564467e-09,-0.0770941389451621,0.000651286521833262,0.979639944047079,0.99999999971548
"NUDCD2",2.64204531288786e-09,-0.0777125421995471,0.000648817699663854,0.979678561606799,0.99999999971548
"TMF1",2.63723861445477e-09,-0.078305408085127,0.000646459046622549,0.979715524621681,0.99999999971548
"STRA13",2.633525387514e-09,-0.0787640473236556,0.000644639901990762,0.979744078983459,0.99999999971548
"CALM2",2.62779865960872e-09,-0.0794724881095413,0.000641839349189617,0.979788117026891,0.99999999971548
"WEE1",2.61848909707984e-09,-0.0806270247243126,0.000637299686900928,0.979859706890817,0.99999999971548
"HNRNPA3",2.61778987507941e-09,-0.0807138836720431,0.000636959372736005,0.97986508386409,0.99999999971548
"WBP2",2.61764574099192e-09,-0.0807317908450811,0.000636889233393356,0.979866192246285,0.99999999971548
"YPEL3",2.61224218036751e-09,-0.0814037471066534,0.000634262508587239,0.979907745320438,0.99999999971548
"PPP4C",2.60566292149844e-09,-0.0822235408173588,0.000631071592994849,0.979958339520876,0.99999999971548
"PUM2",2.60149282813884e-09,-0.0827440786946069,0.000629053280024103,0.979990407390251,0.99999999971548
"PDE4D",2.60014298885562e-09,-0.0829127298178789,0.000628400654326016,0.980000787613181,0.99999999971548
"NUDT4",2.59980510255097e-09,-0.0829549578021743,0.000628237344708105,0.980003385949091,0.99999999971548
"ZNF644",2.59976637570515e-09,-0.0829597980684099,0.000628218628328519,0.980003683757429,0.99999999971548
"SEC31A",2.5895939799294e-09,-0.084233369924274,0.000623312044266068,0.980081909286676,0.99999999971548
"KRT10",2.57830910877733e-09,-0.0856513241844336,0.00061789137224499,0.980168689954389,0.99999999971548
"ATP6V1E1",2.5768199877211e-09,-0.0858388365961531,0.000617177843102816,0.98018014131399,0.99999999971548
"TNFAIP8",2.5692688056934e-09,-0.0867911464405245,0.000613565954227314,0.980238210061319,0.99999999971548
"IMMT",2.56868714254426e-09,-0.0868646032642421,0.000613288172232771,0.980242683067418,0.99999999971548
"FNBP1L",2.56471416599839e-09,-0.0873667281015773,0.000611392499411692,0.980273235386242,0.99999999971548
"LGALS12",2.55960831071473e-09,-0.0880130263452168,0.000608960591537213,0.98031249962188,0.99999999971548
"ZNF280D",2.55141410478424e-09,-0.0890525953620027,0.000605067838743599,0.980375513499766,0.99999999971548
"LSM8",2.54940281442222e-09,-0.0893082042975281,0.00060411425975379,0.980390980447977,0.99999999971548
"DDX5",2.54810190763073e-09,-0.0894736261268308,0.000603497883380711,0.980400984506192,0.99999999971548
"BIRC6",2.52860187358634e-09,-0.0919620735166564,0.000594296367955189,0.980550941410434,0.99999999971548
"TRIM44",2.52771497470479e-09,-0.0920756492638445,0.00059387954603188,0.980557761753914,0.99999999971548
"FNBP4",2.52287488794675e-09,-0.0926960793892243,0.000591607393857147,0.980594982543171,0.99999999971548
"ATPIF1",2.52207629043792e-09,-0.0927985477009699,0.000591232915188441,0.980601123848219,0.99999999971548
"AFG3L2",2.51399444974932e-09,-0.0938371225296666,0.000587449846102232,0.980663274180622,0.99999999971548
"SDF4",2.51140793817166e-09,-0.0941701214266316,0.000586241677809757,0.980683164792307,0.99999999971548
"TRIM58",2.51125556116832e-09,-0.0941897484172546,0.000586170540788368,0.980684336591729,0.99999999971548
"TIMM10",2.5102632078322e-09,-0.0943175942969306,0.00058570736741003,0.980691967921889,0.99999999971548
"SMS",2.50752883503726e-09,-0.0946700938983828,0.000584432066856372,0.98071299562431,0.99999999971548
"UQCC3",2.49537174338421e-09,-0.0962413756722723,0.000578778874950251,0.980806485491209,0.99999999971548
"BRD7",2.48583087876116e-09,-0.0974791853522515,0.000574361501598334,0.980879856362669,0.99999999971548
"NUDT1",2.47781007726777e-09,-0.098522987132983,0.000570661002584821,0.980941537815329,0.99999999971548
"SRSF7",2.47472748945861e-09,-0.0989249273649652,0.000569241992766747,0.980965243518238,0.99999999971548
"TLK1",2.46123984895311e-09,-0.10068872572437,0.000563053991064778,0.981068966307999,0.99999999971548
"AIMP1",2.45816596434261e-09,-0.101091878232217,0.00056164845376294,0.981092605171439,0.99999999971548
"METAP2",2.45175013802425e-09,-0.101934754863632,0.000558720468845667,0.981141944371104,0.99999999971548
"CDK12",2.44069111610506e-09,-0.103392143857258,0.000553691435634007,0.981226990996318,0.99999999971548
"MINPP1",2.43265589668279e-09,-0.104454655042599,0.00055005172176925,0.981288783963218,0.99999999971548
"HSPA8",2.4178110468781e-09,-0.106425671224994,0.000543359019239628,0.981402945087517,0.99999999971548
"CCS",2.40834945558251e-09,-0.107687428413779,0.000539114699332068,0.981475707619066,0.99999999971548
"U2AF2",2.39851147965464e-09,-0.109003959596217,0.000534719187243264,0.981551364827002,0.99999999971548
"ENKUR",2.39821349582401e-09,-0.109043909436236,0.000534586331699096,0.981553656421361,0.99999999971548
"PLEKHO1",2.39599653399337e-09,-0.109341266808321,0.000533598421572111,0.981570705596943,0.99999999971548
"KLF2",2.3920758781427e-09,-0.109867724189389,0.000531853557512,0.981600856768129,0.99999999971548
"FOS",2.36480980614418e-09,-0.113549857852392,0.000519797995614969,0.981810542819824,0.99999999971548
"RP11-1000B6.3",2.33438510112528e-09,-0.11770240028577,0.000506509004836997,0.982044521395878,0.99999999971548
"JUNB",2.3001727170631e-09,-0.122428522231643,0.000491771165814598,0.982307630635725,0.99999999971548
"CHD3",2.29498731685832e-09,-0.123150165864172,0.000489556413894985,0.982347508957968,0.99999999971548
"ADSL",2.29155053399573e-09,-0.123629239234564,0.000488091273503514,0.98237393956219,0.99999999971548
"RBM8A",2.28476799817926e-09,-0.124576533481311,0.000485206242352696,0.982426100761182,0.99999999971548
"TWF2",2.24882029060313e-09,-0.129638451925442,0.000470058237233407,0.98270255842398,0.99999999971548
"USP33",2.24857424853594e-09,-0.12967333975915,0.000469955385285614,0.982704450630134,0.99999999971548
"TMED5",2.23177629050418e-09,-0.132063115747405,0.000462960015911452,0.982833636896545,0.99999999971548
"H2AFZ",2.21022541455836e-09,-0.135152089417402,0.000454062150893103,0.982999376581216,0.99999999971548
"VIM-AS1",2.20848994347661e-09,-0.135401979807495,0.000453349370781875,0.983012723468861,0.99999999971548
"MARCH2",2.20434447791535e-09,-0.135999577206563,0.000451649041206441,0.983044604781694,0.99999999971548
"NFE2",2.19676614138402e-09,-0.137094578220914,0.000448548922406401,0.983102887163773,0.99999999971548
"TXN2",2.19091616112718e-09,-0.137942096957474,0.000446163135010479,0.983147877413364,0.99999999971548
"UBQLN1",2.18206248666056e-09,-0.139228528980203,0.000442564456323487,0.983215968176519,0.99999999971548
"DNAJB6",2.14533855963238e-09,-0.144613439566186,0.000427793166248627,0.983498401389451,0.99999999971548
"SIGMAR1",2.13975327626875e-09,-0.145439435782583,0.000425568588900336,0.983541356387451,0.99999999971548
"UQCRQ",2.12016114979238e-09,-0.148351781547146,0.000417811038318956,0.983692034840326,0.99999999971548
"MOB2",2.11319439135223e-09,-0.149393025806481,0.000415069731400108,0.983745614687165,0.99999999971548
"CCDC109B",2.11296806542548e-09,-0.14942690228859,0.000414980827121919,0.983747355312618,0.99999999971548
"MAP3K8",2.11044868387689e-09,-0.149804216796131,0.000413991818568596,0.983766731355366,0.99999999971548
"MT-ND4L",2.10407366117747e-09,-0.150760723361909,0.000411494509688022,0.983815760380009,0.99999999971548
"TUBB1",2.10329072792759e-09,-0.150878368195418,0.000411188329539563,0.983821781767274,0.99999999971548
"MT-CO3",2.10201391305058e-09,-0.151070306234504,0.000410689252532439,0.983831601504,0.99999999971548
"DGCR6L",2.09235452619781e-09,-0.152525654778775,0.000406923443421902,0.983905890062769,0.99999999971548
"SRPK1",2.07787434259985e-09,-0.154718322436257,0.000401310687921997,0.984017254739402,0.99999999971548
"ASH1L",2.07333649209611e-09,-0.155408203819854,0.000399559764546553,0.98405215465487,0.99999999971548
"RSF1",2.0697703366781e-09,-0.155951282404898,0.000398186454607183,0.984079581433195,0.99999999971548
"ANAPC5",2.06273795839225e-09,-0.15702461058174,0.000395485246008385,0.984133666478366,0.99999999971548
"LST1",2.0565807032738e-09,-0.157966988401871,0.000393127729714328,0.984181021132623,0.99999999971548
"WIPF1",2.03567151801808e-09,-0.161185597709135,0.000385174534017106,0.98434183139221,0.99999999971548
"TTC17",2.02397871393512e-09,-0.162998062008928,0.000380762392275396,0.984431759748826,0.99999999971548
"PTPRA",2.02202080454036e-09,-0.163302441135774,0.000380026082472827,0.984446817881971,0.99999999971548
"LYSMD2",2.01816589450428e-09,-0.163902480501515,0.000378578451565037,0.984476465719832,0.99999999971548
"FKBP1A",2.01732091502351e-09,-0.164034139721649,0.000378261506305753,0.984482964399556,0.99999999971548
"RAB8B",2.01496638736859e-09,-0.164401260178377,0.000377379041428244,0.984501072917062,0.99999999971548
"LITAF",2.00418097159964e-09,-0.166087718305152,0.000373349895599456,0.984584022943087,0.99999999971548
"COQ4",1.9941931313411e-09,-0.167656519064974,0.000369637987810153,0.984660839009373,0.99999999971548
