module_color,variant_id,sensitivity_family,top_n_hubs,scoring_method,label_strategy,coarse_cell_type,n_cells,mean_score,median_score,pct_cells_score_gt0,relative_score_within_module,baseline_top1_cell_type,n_variants_tested,n_variants_agree_top1,subject_timepoint_top1_cell_type,edge_decision,is_formal_edge
lightyellow,hub_top50_mean_all,hub_count,50,mean_log1pCP10K,all_cells,B_Plasma,105047,0.345899767154799,0.327247361846063,98.9014441154912,0.30936746344348204,HSPC,9,9,Myeloid,downgrade_subject_timepoint_top1_discordance,False
lightyellow,hub_top50_mean_all,hub_count,50,mean_log1pCP10K,all_cells,Stromal_Endothelial,349,0.307434830140236,0.297033474904584,97.9942693409742,0.07343175017790292,HSPC,9,9,Myeloid,downgrade_subject_timepoint_top1_discordance,False
magenta,hub_top50_mean_all,hub_count,50,mean_log1pCP10K,all_cells,HSPC,681,0.443335775700489,0.4357445098175,97.2099853157122,1.0,HSPC,9,9,HSPC,include_descriptive_context_edge,True
magenta,hub_top50_mean_all,hub_count,50,mean_log1pCP10K,all_cells,Erythroid,208333,0.254690496283611,0.185509440807885,89.054542487268,0.0,HSPC,9,9,HSPC,include_descriptive_context_edge,True
magenta,hub_top50_mean_all,hub_count,50,mean_log1pCP10K,all_cells,Megakaryocyte,1409,0.274356249313708,0.204289209664666,95.3158268275373,0.10424725755601126,HSPC,9,9,HSPC,include_descriptive_context_edge,True
magenta,hub_top50_mean_all,hub_count,50,mean_log1pCP10K,all_cells,Myeloid,118457,0.333395068350203,0.314449390728209,97.9756367289396,0.4172093375984596,HSPC,9,9,HSPC,include_descriptive_context_edge,True
magenta,hub_top50_mean_all,hub_count,50,mean_log1pCP10K,all_cells,T_NK,334341,0.328359268487943,0.328645939622053,99.4257360000718,0.3905147928008046,HSPC,9,9,HSPC,include_descriptive_context_edge,True
magenta,hub_top50_mean_all,hub_count,50,mean_log1pCP10K,all_cells,B_Plasma,105047,0.321386562730555,0.297938363636183,98.4711605281445,0.3535527984220353,HSPC,9,9,HSPC,include_descriptive_context_edge,True
magenta,hub_top50_mean_all,hub_count,50,mean_log1pCP10K,all_cells,Stromal_Endothelial,349,0.331087514868122,0.326407695787369,97.9942693409742,0.40497710210752186,HSPC,9,9,HSPC,include_descriptive_context_edge,True
midnightblue,hub_top50_mean_all,hub_count,50,mean_log1pCP10K,all_cells,HSPC,681,0.0759961636140755,0.0742360510975501,84.8751835535977,0.0,Erythroid,9,9,Erythroid,include_descriptive_context_edge,True
midnightblue,hub_top50_mean_all,hub_count,50,mean_log1pCP10K,all_cells,Erythroid,208333,0.681363547441225,0.62417959786238,99.0683185093096,1.0,Erythroid,9,9,Erythroid,include_descriptive_context_edge,True
midnightblue,hub_top50_mean_all,hub_count,50,mean_log1pCP10K,all_cells,Megakaryocyte,1409,0.162413387310508,0.139590659401252,90.4897090134847,0.14275170087641723,Erythroid,9,9,Erythroid,include_descriptive_context_edge,True
midnightblue,hub_top50_mean_all,hub_count,50,mean_log1pCP10K,all_cells,Myeloid,118457,0.118742333951468,0.111237367686322,91.3225896316807,0.07061194818120198,Erythroid,9,9,Erythroid,include_descriptive_context_edge,True
midnightblue,hub_top50_mean_all,hub_count,50,mean_log1pCP10K,all_cells,T_NK,334341,0.0965366770822076,0.0888709818699304,90.5013145261873,0.03393065767480633,Erythroid,9,9,Erythroid,include_descriptive_context_edge,True
midnightblue,hub_top50_mean_all,hub_count,50,mean_log1pCP10K,all_cells,B_Plasma,105047,0.0822049798025868,0.0722670608509662,85.2047178881834,0.010256278012962949,Erythroid,9,9,Erythroid,include_descriptive_context_edge,True
