frame	time_ns	whole_protein_backbone_rmsd_nm	chain_A_backbone_rmsd_global_fit_nm	chain_B_backbone_rmsd_global_fit_nm	chain_A_backbone_rmsd_self_fit_nm	chain_B_backbone_rmsd_self_fit_nm	interface_min_heavy_distance_nm	interface_heavy_atom_contact_pairs_le_0_40_nm	interface_heavy_atom_contact_pairs_le_0_50_nm	interface_residue_contact_pairs_le_0_40_nm	interface_residue_contact_pairs_le_0_50_nm	chain_A_B_com_distance_nm	protein_radius_of_gyration_nm	butin_heavy_rmsd_after_protein_fit_nm	protein_butin_min_heavy_distance_nm	protein_butin_heavy_contact_pairs_le_0_40_nm	pocket_butin_min_heavy_distance_nm	pocket_occupied_le_0_50_nm	pocket_occupied_le_0_40_nm	pocket_butin_com_distance_nm	interface_hydrogen_bond_count	chain_A_sasa_nm2	chain_B_sasa_nm2	protein_AB_sasa_nm2	interface_buried_sasa_total_loss_nm2	interface_buried_sasa_per_side_nm2	protein_butin_hydrogen_bond_count	protein_butin_surface_sasa_nm2	butin_sasa_nm2
26	0.26	0.0978138620162539	0.0883024102409846	0.106103096994709	0.0723619196003862	0.0897930077725401	0.2830285871295812	95	365	30	48	2.161291445805168	1.7787431396493516	0.0867567841848533	0.2857569350706105	59	0.2857569350706105	1	1	0.2568613482742001	15.0	66.723	70.304	111.228	25.798999999999992	12.899499999999996	2.0	109.547	0.027
27	0.27	0.1011996732491274	0.1009058444261557	0.1014794426454313	0.0871524579219664	0.0928180801779735	0.2730877880892859	106	367	30	44	2.1716087895110245	1.785374073417822	0.1107383912122224	0.2844396750493448	47	0.2844396750493448	1	1	0.2580601430141425	15.0	64.661	73.204	112.431	25.43400000000001	12.717000000000006	2.0	110.625	0.0
28	0.28	0.0905621276206089	0.0926268701388734	0.0885456778130672	0.0829937239009548	0.0815486862993326	0.2736508585141282	85	332	28	46	2.186158129195567	1.7866581308269769	0.0839021519017407	0.2824284809939393	53	0.2824284809939393	1	1	0.2223629601458985	11.0	66.23	73.464	114.136	25.55800000000002	12.77900000000001	2.0	112.121	0.027
29	0.29	0.0953219880887278	0.0990882616292261	0.0915813068561467	0.0887373450780474	0.0839949464400319	0.2660713067824737	96	343	29	48	2.175377393116672	1.7858787841603807	0.0820100031080711	0.2637591094922311	52	0.2637591094922311	1	1	0.2216478570836764	14.0	65.971	73.728	114.651	25.048000000000016	12.524000000000008	2.0	112.555	0.0
30	0.3	0.09498661326163	0.0936317197611249	0.096262541293635	0.0847773765918029	0.0824762759037881	0.2798231610392234	87	350	27	46	2.167750309099438	1.7843299651820566	0.0358591778337463	0.290385388817604	64	0.290385388817604	1	1	0.2303311869783647	13.0	65.872	73.153	114.391	24.634	12.317	2.0	112.486	0.027
31	0.31	0.0966167265909319	0.0977135289043659	0.0955576927374698	0.0826449160718582	0.0873535487597678	0.2620728461337258	83	332	26	49	2.1844306814739305	1.7914889208730944	0.0954118151045083	0.2814818289823316	59	0.2814818289823316	1	1	0.2421310822861531	15.0	68.048	72.606	115.623	25.03099999999999	12.515499999999996	2.0	113.554	0.0
32	0.32	0.0950697319110794	0.0935706793763554	0.0964793715554587	0.0808542038169188	0.0857076791383806	0.2609251927197135	90	362	32	47	2.143052761324565	1.779584243014043	0.107962293794394	0.2699291767171398	41	0.2699291767171398	1	1	0.2280707012960078	13.0	68.216	73.768	116.233	25.750999999999976	12.875499999999988	2.0	114.218	0.053
33	0.33	0.1060823240186255	0.098131135867752	0.1131542866247442	0.083431863292944	0.099868396535707	0.2566292235791351	115	406	33	49	2.132217529443328	1.7747241535985032	0.0523174493194252	0.2858554126080229	50	0.2858554126080229	1	1	0.2328620033154558	12.0	67.15	73.943	116.133	24.960000000000026	12.480000000000013	2.0	113.938	0.08
34	0.34	0.110895617356967	0.1043364742955571	0.116815412835868	0.0849901532537119	0.093263757209423	0.2706456766600706	96	367	33	47	2.1639132240411127	1.7905334208303023	0.0969907329888409	0.2821220010398674	49	0.2821220010398674	1	1	0.2642474178755968	14.0	67.91	75.451	116.936	26.424999999999983	13.212499999999991	2.0	114.951	0.053
35	0.35	0.1056240967600073	0.1128454074967612	0.098234610749899	0.1035626627668804	0.0908306878892326	0.2652864660596213	84	341	30	50	2.150786972620146	1.7787128127303593	0.0715711720353792	0.2982127582741812	47	0.2982127582741812	1	1	0.2244792640098632	14.0	67.193	73.526	115.503	25.215999999999998	12.607999999999995	2.0	113.579	0.0
