case_id,display,series,x,value,x_unit,value_unit
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.89,0.1125287,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.9,0.1101281,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.91,0.1238769,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.92,0.1248996,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.9300001,0.1251816,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.9400001,0.1194253,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.95,0.1176929,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.96,0.1246229,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.97,0.1239379,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.98,0.1175771,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.9900001,0.126312,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.0,0.1228651,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.01,0.1299716,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.0200001,0.1298773,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.0300001,0.1261768,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.0400001,0.1256418,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.0500001,0.1220186,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.0600001,0.1241844,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.0700001,0.1274161,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.08,0.1242919,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.09,0.130673,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.1,0.1150884,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.11,0.1166007,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.12,0.1206369,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.13,0.1255892,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.1400001,0.122829,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.1500001,0.1247334,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.1600001,0.1399391,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.1700001,0.1479954,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.1800001,0.133748,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.1900001,0.1459469,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.2,0.1436687,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.21,0.1482875,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.22,0.1348877,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.23,0.1410027,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.24,0.1328023,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.25,0.1238746,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.2600001,0.1290377,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.2700001,0.1308133,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.2800001,0.139029,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.2900001,0.1323202,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.3000001,0.1370418,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.3100001,0.1324416,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.3200001,0.1399404,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.33,0.1368996,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.34,0.1409045,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.35,0.1643046,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.36,0.1500319,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.3700001,0.1538757,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.3800001,0.1446133,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.3900001,0.1362295,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.4000001,0.1451224,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.4100001,0.1397902,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.4200001,0.1341014,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.4300001,0.1392891,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.4400001,0.1316933,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.45,0.1422204,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.46,0.1495276,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.47,0.1672028,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.48,0.1589887,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.4900001,0.1663236,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.5000001,0.1480701,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.5100001,0.1463848,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.5200001,0.1376767,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.5300001,0.1378321,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.5400001,0.1524916,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.5500001,0.1478127,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.5600001,0.1487722,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.5700001,0.1442787,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.58,0.1387641,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.59,0.1435561,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.6,0.1440249,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.6100001,0.1508515,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.6200001,0.1446628,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.6300001,0.1410911,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.6400001,0.1426402,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.6500001,0.1494866,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.6600001,0.1508785,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.6700001,0.1246527,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.6800001,0.1414266,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.6900001,0.1441636,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.7,0.1486863,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.71,0.132008,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.72,0.151496,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.7300001,0.1405819,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.7400001,0.1336575,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.7500001,0.1419066,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.7600001,0.1448756,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.7700001,0.1483396,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.7800001,0.144168,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.7900001,0.155463,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.8000001,0.1550529,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.8100001,0.1502351,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.8200001,0.1740773,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.83,0.1700962,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.84,0.1503529,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.8500001,0.1591843,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.8600001,0.1526238,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.8700001,0.1563411,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.8800001,0.1651866,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.8900001,0.1539657,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.9000001,0.1494904,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.9100001,0.1534711,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.9200001,0.1496847,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.9300001,0.1545126,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.9400001,0.1398845,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.95,0.1447905,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.96,0.1507708,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.9700001,0.1508163,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.9800001,0.1573864,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,1.9900001,0.1554838,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.0,0.1667503,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.01,0.1635011,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.02,0.1535323,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.0300002,0.1634103,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.0400002,0.1554727,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.0500002,0.1599154,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.0600002,0.1701093,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.0700002,0.1744189,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.0800002,0.1624808,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.0900002,0.1715745,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.1000001,0.1767291,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.1100001,0.1708716,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.1200001,0.1726637,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.1300001,0.1646454,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.1400001,0.1591401,ns,nm
