gene	subject	mean_deletion_recovery_shift	mean_overexpression_recovery_shift	bidirectional_score_min_of_arms	directionally_coherent	contrast_overexpression_minus_deletion
KIT	UPN18	-0.0560332685708999	0.0088384328410029	0.0088384328410029	True	0.0648717014119028
KIT	UPN19	-0.0526103302836418	0.0880870521068573	0.0526103302836418	True	0.14069738239049911
KIT	UPN2	-0.0404824428260326	0.0163386482745409	0.0163386482745409	True	0.0568210911005735
KIT	UPN20	-0.0571579150855541	0.0254150480031967	0.0254150480031967	True	0.0825729630887508
KIT	UPN3	-0.0064981020987033	0.0572068691253662	0.0064981020987033	True	0.0637049712240695
KIT	UPN8	-0.0052829678170382	0.0139042055234313	0.0052829678170382	True	0.019187173340469498
KIT	UPN9	-0.0792124196887016	0.0301569625735282	0.0301569625735282	True	0.10936938226222981
SYK	UPN1	-0.0052694198675453	0.0010753613896667	0.0010753613896667	True	0.006344781257212001
SYK	UPN10	-0.0020124712027609	0.0137066999450325	0.0020124712027609	True	0.0157191711477934
SYK	UPN11	0.009103643707931	-0.0224728491157293	-0.0224728491157293	False	-0.031576492823660304
SYK	UPN12	0.0093228388577699	0.0075768204405903	-0.0093228388577699	False	-0.0017460184171796001
SYK	UPN13	-0.0827255547046661	-0.0042564724572002	-0.0042564724572002	False	0.07846908224746589
SYK	UPN14	0.0130148911848664	0.0019255883526057	-0.0130148911848664	False	-0.0110893028322607
SYK	UPN17	-0.0596071928739547	0.0057509671896696	0.0057509671896696	True	0.0653581600636243
SYK	UPN18	-0.0050865160301327	0.0049149068072438	0.0049149068072438	True	0.010001422837376501
SYK	UPN19	0.0110821854323148	0.0048358924686908	-0.0110821854323148	False	-0.006246292963624
SYK	UPN2	-0.0031900908797979	-0.0121880890801548	-0.0121880890801548	False	-0.008997998200356901
SYK	UPN20	-0.0018183575011789	-0.004337525460869	-0.004337525460869	False	-0.0025191679596901
SYK	UPN3	0.002998333889991	-0.0019820011220872	-0.002998333889991	False	-0.0049803350120782
SYK	UPN7	-0.0058339587412774	-0.0005807639099657	-0.0005807639099657	False	0.0052531948313117
SYK	UPN8	0.0062161213718354	0.0147252529859542	-0.0062161213718354	False	0.0085091316141188
SYK	UPN9	-0.0191842801868915	0.0104610314592719	0.0104610314592719	True	0.0296453116461634
GSK3B	UPN1	-0.0278728678822517	-0.0050852899439632	-0.0050852899439632	False	0.022787577938288502
GSK3B	UPN10	-0.0026155607774853	0.018236706033349	0.0026155607774853	True	0.0208522668108343
GSK3B	UPN11	-0.0073843691498041	0.0074985581450164	0.0073843691498041	True	0.014882927294820499
GSK3B	UPN12	0.0032005435787141	0.0035274855326861	-0.0032005435787141	False	0.0003269419539719998
GSK3B	UPN13	-0.0360585860908031	0.014748259447515	0.014748259447515	True	0.0508068455383181
GSK3B	UPN14	0.0003755898214876	0.0054565062746405	-0.0003755898214876	False	0.0050809164531529
GSK3B	UPN17	-0.0608173757791519	0.0145716918632388	0.0145716918632388	True	0.0753890676423907
GSK3B	UPN18	-0.0009618392214179	0.0002107239124597	0.0002107239124597	True	0.0011725631338776
GSK3B	UPN19	0.0034498667810112	0.0139428563416004	-0.0034498667810112	False	0.010492989560589201
GSK3B	UPN2	-0.0141348568722605	0.0217492505908012	0.0141348568722605	True	0.0358841074630617
GSK3B	UPN20	-0.0113039696589112	0.0087950089946389	0.0087950089946389	True	0.0200989786535501
GSK3B	UPN3	-0.0154409334063529	0.0144403874874114	0.0144403874874114	True	0.0298813208937643
GSK3B	UPN7	-0.0315602347254753	0.0006149940309114	0.0006149940309114	True	0.032175228756386696
GSK3B	UPN8	0.0034756097011268	0.0345719456672668	-0.0034756097011268	False	0.031096335966139997
GSK3B	UPN9	-0.0145536409690976	0.0292982403188943	0.0145536409690976	True	0.0438518812879919
HIF1A	UPN1	-0.0137335341423749	0.0107277538627386	0.0107277538627386	True	0.0244612880051135
HIF1A	UPN10	0.0086972722783684	0.0048251086845994	-0.0086972722783684	False	-0.0038721635937690006
HIF1A	UPN11	0.0046735913492739	-0.0075264410115778	-0.0075264410115778	False	-0.0122000323608517
HIF1A	UPN12	-0.0036913063377141	0.0091403415426611	0.0036913063377141	True	0.0128316478803752
