"candidate","gene","Z","p.adj","significant"
"HIF1A","TPM4",1.13230563562209,0.999999999902037,FALSE
"HIF1A","AURKA",0.777449019413633,0.999999999902037,FALSE
"HIF1A","F13A1",0.515486463115672,0.999999999902037,FALSE
"HIF1A","CTTN",0.502215419601229,0.999999999902037,FALSE
"HIF1A","DAPP1",0.484887918811955,0.999999999902037,FALSE
"HIF1A","CMIP",0.445488699096013,0.999999999902037,FALSE
"HIF1A","RGS18",0.375676363282862,0.999999999902037,FALSE
"HIF1A","CLDN5",0.364964816163671,0.999999999902037,FALSE
"HIF1A","NEXN",0.341572689749935,0.999999999902037,FALSE
"HIF1A","ABCC3",0.277295117450712,0.999999999902037,FALSE
"HIF1A","KIF2A",0.103261073113973,0.999999999902037,FALSE
"TOP2A","PRSS57",3.78119670273564,5.09530765456752e-304,TRUE
"TOP2A","SMIM24",2.55933248630672,1.09029281009214e-14,TRUE
"TOP2A","PGF",2.24540845771038,2.49625484027885e-05,TRUE
"TOP2A","SELK",2.04935902901536,0.0132759845129753,TRUE
"TOP2A","GYPC",2.04158503646487,0.0137291904251979,TRUE
"TOP2A","CDCA7",1.99190099286057,0.0347474251402385,TRUE
"TOP2A","AURKA",1.97359004020405,0.045683466623962,TRUE
"TOP2A","C1orf228",1.95445846824831,0.0587743239432526,FALSE
"TOP2A","ZFP36L2",1.88843643385656,0.154923198787989,FALSE
"TOP2A","CD34",1.87002111210829,0.196482834031146,FALSE
"TOP2A","SPINK2",1.8545621079529,0.226635687964845,FALSE
"TOP2A","RPS18",1.83639728026915,0.262560758247917,FALSE
"TOP2A","IMPDH2",1.72319271665478,0.666688099040048,FALSE
"TOP2A","RPS6",1.71189942008212,0.708475712027421,FALSE
"TOP2A","DAPP1",1.23498675560034,0.999999999776616,FALSE
"TOP2A","F13A1",1.15238763021405,0.999999999776616,FALSE
"TOP2A","CLDN5",1.07063873860157,0.999999999776616,FALSE
"TOP2A","KIF2A",1.02905873431059,0.999999999776616,FALSE
"TOP2A","CMIP",0.838693021541887,0.999999999776616,FALSE
"TOP2A","NEXN",0.822634099677149,0.999999999776616,FALSE
"TOP2A","ABCC3",0.80727249244059,0.999999999776616,FALSE
"TOP2A","RGS18",0.165167691619053,0.999999999776616,FALSE
"TOP2A","CTTN",0.0669865141139927,0.999999999776616,FALSE
"TOP2A","TPM4",-0.168894127008024,0.999999999776616,FALSE
"TERT","PRSS57",2.46935884135599,6.0977510716054e-312,TRUE
"TERT","SMIM24",2.07307129797654,2.63884522407332e-18,TRUE
"TERT","GYPC",1.89105968629555,0.000482023377810175,TRUE
"TERT","CDCA7",1.88791094838768,0.000512376799809593,TRUE
"TERT","RPS18",1.86706255748721,0.00242202084632914,TRUE
"TERT","SPINK2",1.85385100067492,0.0049763038683261,TRUE
"TERT","C1orf228",1.85344766061517,0.0049763038683261,TRUE
"TERT","CD34",1.84728427572158,0.00677637063242003,TRUE
"TERT","RPS6",1.83354106413106,0.0148439241921701,TRUE
"TERT","IMPDH2",1.82307396713401,0.0251935211242676,TRUE
"TERT","ZFP36L2",1.81301826207324,0.0404221904759604,TRUE
"TERT","PGF",1.54725728094926,0.999999989686377,FALSE
"TERT","TPM4",1.50199433557826,0.999999989686377,FALSE
"TERT","SELK",1.488159418401,0.999999989686377,FALSE
"TERT","CTTN",1.18685621682837,0.999999989686377,FALSE
"TERT","F13A1",1.18158246126197,0.999999989686377,FALSE
"TERT","DAPP1",1.17264035424943,0.999999989686377,FALSE
"TERT","CMIP",1.17156121783697,0.999999989686377,FALSE
"TERT","RGS18",1.16941651434908,0.999999989686377,FALSE
"TERT","CLDN5",1.15656740051078,0.999999989686377,FALSE
"TERT","NEXN",1.15644252727283,0.999999989686377,FALSE
"TERT","ABCC3",1.1446046132306,0.999999989686377,FALSE
"TERT","KIF2A",1.14202697763608,0.999999989686377,FALSE
"TERT","AURKA",-0.305876832426251,0.999999989686377,FALSE
"CD38","PRSS57",4.02249109319986,0,TRUE
"CD38","SMIM24",2.89110907781281,2.59190835373673e-22,TRUE
"CD38","GYPC",2.45155775954853,3.5334420138932e-05,TRUE
"CD38","CDCA7",2.40469230416315,0.000223043723479893,TRUE
"CD38","RPS18",2.33651915912529,0.0024099927025384,TRUE
"CD38","C1orf228",2.32590960358099,0.00295099194182019,TRUE
"CD38","CD34",2.2917651373679,0.00759140975095787,TRUE
"CD38","SPINK2",2.28574719316468,0.00807532966878723,TRUE
"CD38","RPS6",2.24022335379549,0.0251142679891282,TRUE
"CD38","IMPDH2",2.2374838728671,0.0251142679891282,TRUE
"CD38","ZFP36L2",2.21507753400624,0.0403346350848707,TRUE
"CD38","PGF",1.784144914428,0.99999999971548,FALSE
"CD38","SELK",1.68039686927018,0.99999999971548,FALSE
"CD38","TPM4",1.14801756479009,0.99999999971548,FALSE
"CD38","AURKA",0.951186395996402,0.99999999971548,FALSE
"CD38","CTTN",0.523685818616582,0.99999999971548,FALSE
"CD38","F13A1",0.480462041367829,0.99999999971548,FALSE
"CD38","RGS18",0.4594983997436,0.99999999971548,FALSE
"CD38","DAPP1",0.425962694147582,0.99999999971548,FALSE
"CD38","CMIP",0.423905947368258,0.99999999971548,FALSE
"CD38","NEXN",0.358801716281235,0.99999999971548,FALSE
"CD38","KIF2A",0.333004293114406,0.99999999971548,FALSE
"CD38","CLDN5",0.309337363622713,0.99999999971548,FALSE
"CD38","ABCC3",0.293035862728803,0.99999999971548,FALSE
