"gene","distance","Z","FC","p.value","p.adj","candidate","significant","neg_log10_q","response_rank"
"CDCA7",1.64720347123076e-08,1.88791094838768,24.2321208011013,8.53961333015989e-07,0.000512376799809593,"TERT",TRUE,3.29041054314043,4
"RPS18",1.52969106860309e-08,1.86706255748721,20.8979838723573,4.84404169265828e-06,0.00242202084632914,"TERT",TRUE,2.61582212320504,5
"SPINK2",1.45956068080357e-08,1.85385100067492,19.0257260221537,1.28967915702869e-05,0.0049763038683261,"TERT",TRUE,2.30309310815888,6
"C1orf228",1.45747048518507e-08,1.85344766061517,18.9712726311517,1.32701436488696e-05,0.0049763038683261,"TERT",TRUE,2.30309310815888,7
"CD34",1.42589666175195e-08,1.84728427572158,18.158209909366,2.03291118972601e-05,0.00677637063242003,"TERT",TRUE,2.16900284836613,8
"RPS6",1.35791056323278e-08,1.83354106413106,16.4679394374778,4.94797473072336e-05,0.0148439241921701,"TERT",TRUE,1.82845127225685,9
"IMPDH2",1.30829298028293e-08,1.82307396713401,15.2864609090034,9.23762441223145e-05,0.0251935211242676,"TERT",TRUE,1.59871112992264,10
"ZFP36L2",1.26231738745989e-08,1.81301826207324,14.2309553610613,0.000161688761903841,0.0404221904759604,"TERT",TRUE,1.39338015579236,11
"BST2",1.22335450981845e-08,1.80420834102922,13.3660038641549,0.000256226726203659,0.0556347475461571,"TERT",FALSE,1.25465387830969,12
"C1QTNF4",1.22222195313758e-08,1.80394812275781,13.3412673716043,0.000259628821882067,0.0556347475461571,"TERT",FALSE,1.25465387830969,13
"FABP5",1.21268946757839e-08,1.8017484137575,13.133973601397,0.000289989093964148,0.0579978187928296,"TERT",FALSE,1.23658833926552,14
"ICAM3",1.19309722811665e-08,1.7971730654304,12.7130162223226,0.000363119281485708,0.0680848652785702,"TERT",FALSE,1.16694941755127,15
"RPL18A",1.18760838259098e-08,1.79587792084188,12.5963127893173,0.000386508483281795,0.0682073794026698,"TERT",FALSE,1.16616863618683,16
"LCP1",1.17521934516901e-08,1.79293269337731,12.3348760904246,0.000444573614061762,0.0740956023436271,"TERT",FALSE,1.13020756711611,17
"IGFBP7",1.16410196961237e-08,1.79026349059152,12.102608249734,0.000503513409182011,0.0777348275809317,"TERT",FALSE,1.10938436038334,18
"RPS21",1.16151564184943e-08,1.78963891380459,12.0488903780972,0.000518232183872878,0.0777348275809317,"TERT",FALSE,1.10938436038334,19
"EEF1B2",1.1049135158623e-08,1.7756137515691,10.9031879851697,0.000959989001139886,0.134325026978896,"TERT",FALSE,0.871843063532137,20
