scenario,GeneSymbol,rank_no_docking_formal,no_docking_formal_score,scenario_score,scenario_rank,formal_rank_reproduced,rank_shift_vs_formal,in_scenario_top30,is_core10,is_focus5,dropped_components
drop_explicit_recovery_only,MPO,22,54.89044001108199,57.3853685939817,24,22,2,True,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,G6PD,26,54.1033457548013,57.05805490525021,25,26,-1,True,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,CCNB1,25,54.60723991893139,56.773176213871224,26,25,1,True,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,AURKB,29,53.80161593046072,56.68006961069516,27,29,-2,True,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,ESR1,41,50.06054282542668,56.215184095677294,28,41,-13,True,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,MIF,27,53.89438931387487,56.16195549379685,29,27,2,True,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,TBXAS1,28,53.80934079860913,56.1349520661503,30,28,2,True,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,PIK3CG,30,53.45711100591184,56.11907667561549,31,30,1,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,NEK2,43,49.35214941566891,55.34446422052473,32,43,-11,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,HDAC1,32,52.82782592742976,55.114598690715354,33,32,1,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,FLT3,33,52.78878505001604,54.81590601482651,34,33,1,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,PRKDC,23,54.71872594659365,54.597505412662386,35,23,12,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,TP53,34,52.75607903312135,54.2806085429823,36,34,2,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,PIK3CA,36,51.782778837561,54.17242730858366,37,36,1,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,PGD,31,52.8550472189166,53.91507314709499,38,31,7,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,IGF1R,37,51.76310470655844,53.852378855886506,39,37,2,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,AR,38,51.159965528163255,53.61256132473363,40,38,2,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,MET,39,50.63809148998545,53.17075186182774,41,39,2,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,AKT1,40,50.15307493087494,52.34738087182998,42,40,2,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,AURKA,52,46.27114229369852,51.901188322040284,43,52,-9,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,MDM2,53,46.09466541055266,51.562498317938854,44,53,-9,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,F2,56,45.26682943403539,50.833619955629636,45,56,-11,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,PLK1,42,49.45843517589974,50.6617570928863,46,42,4,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,TDP1,44,48.23296042277877,50.47335907649047,47,44,3,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,POLB,48,47.65672267415931,49.5475021783992,48,48,0,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,SRC,50,47.4395969396098,49.518669320249536,49,50,-1,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,DUT,45,47.94219831605302,49.47466920900344,50,45,5,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,DHFR,47,47.7354393604263,49.282292496941224,51,47,4,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,PIK3CB,49,47.55298695121654,49.079318088947396,52,49,3,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,FEN1,46,47.76679184600543,48.973168687569256,53,46,7,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,CHEK2,54,46.04609489851133,47.452260552216046,54,54,0,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,TNF,55,45.49950230872851,47.10717051335544,55,55,0,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,HDAC8,57,44.28150526191714,45.86949953128682,56,57,-1,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,PIM1,51,46.346021991956974,45.778820870964374,57,51,6,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,DNMT1,59,43.410028135244886,44.86994002392707,58,59,-1,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,BCL2,68,40.11814789781163,44.801521492088156,59,68,-9,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,EGFR,61,43.074321601297406,44.6830493717781,60,61,-1,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,PPARG,60,43.11457216457805,44.66903429081208,61,60,1,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,ABCB1,70,39.89211630149021,44.58306438184926,62,70,-8,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,RET,74,39.69428208389376,44.57434338347137,63,74,-11,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,TOP1,58,43.70394124829878,44.227814764384064,64,58,6,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,NOS2,63,40.90413464781543,43.72080884750517,65,63,2,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,ATP12A,62,41.91176126962033,43.372510887229204,66,62,4,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,ALK,64,40.85437411598742,42.18964477194315,67,64,3,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,PLG,65,40.81782053003362,42.146531176085574,68,65,3,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,VDR,67,40.36211971467029,41.55351496002307,69,67,2,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,CCNA2,66,40.49842416770713,41.319708749723695,70,66,4,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,CDC25A,73,39.76592774178862,40.912980554319255,71,73,-2,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,KDR,75,39.68880631997319,40.840664475811735,72,75,-3,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,MMP9,72,39.81338843460768,40.71787651346655,73,72,1,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,F10,88,35.91463664322328,40.33379279456598,74,88,-14,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,WEE1,69,40.00903772109529,40.29466675727297,75,69,6,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,TTK,76,39.08797180174,39.8665664115103,76,76,0,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,ABL1,77,38.23770443318052,39.195269311633126,77,77,0,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,LYN,71,39.869822346176974,38.83162329638315,78,71,7,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,PDGFRB,78,37.58277695897213,38.49908985779963,79,78,1,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,VEGFA,79,37.51559416668631,38.395177668816224,80,79,1,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,TEK,92,34.08550950698603,38.25816622862617,81,92,-11,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,EIF2AK3,81,37.368566010757405,38.205354437428255,82,81,1,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,TTR,82,37.20798482526064,38.094695262766045,83,82,1,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,ALPL,85,36.78870659369071,37.54710236267654,84,85,-1,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,ALDH2,80,37.46903022693876,37.53902165961498,85,80,5,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,C5AR1,84,36.86259213361141,37.41803359234375,86,84,2,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,LCK,83,37.18429618220377,36.44489498471838,87,83,4,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,PIK3CD,86,36.3479616394086,36.009132265439774,88,86,2,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,BCL2L1,89,35.599869179960066,35.368773375687965,89,89,0,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,NFKB1,87,35.95116330872005,35.08063608984851,90,87,3,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,STAT1,90,35.43908280950596,34.97565630812867,91,90,1,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,CCR5,91,34.535805159343205,34.93111313161467,92,91,1,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,PGR,104,30.99884992148073,34.75334972208838,93,104,-11,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,CD81,101,31.427772016711288,34.75167007530338,94,101,-7,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,FGFR1,105,30.73995505405806,34.48918445686595,95,105,-10,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,CCND1,94,33.61313395996893,33.81175702715663,96,94,2,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,IL2,95,33.38161198097101,33.79663603862557,97,95,2,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,MAP2K1,93,33.96083152101814,33.7686697823843,98,93,5,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,XDH,96,33.25860879814001,33.658949924165896,99,96,3,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,ERBB2,97,32.897317052884326,33.238719420215595,100,97,3,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,CXCR2,98,32.38390999979941,32.586594689268104,101,98,3,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,IGFBP3,99,31.6233013275042,31.730541875613184,102,99,3,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,CYP3A4,100,31.491053129475883,31.67407362956717,103,100,3,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,BRAF,102,31.18792941056806,31.2945328480584,104,102,2,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,PLAT,103,31.035857151235334,31.124116281073128,105,103,2,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,PGF,106,30.60832355039873,30.65547154426461,106,106,0,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,EGLN1,107,30.00374862627243,29.70418564413061,107,107,0,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,TLR9,108,29.73191887766343,29.63581761268752,108,108,0,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,IDO1,109,29.32769303768205,29.06729382517255,109,109,0,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,NOD2,110,28.74296187424454,28.44846496912881,110,110,0,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,SERPINE1,117,25.315326962076785,28.312688803579906,111,117,-6,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,FLT4,112,28.475023136774187,28.24882732216184,112,112,0,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,GSR,111,28.637162364918588,27.864384060304953,113,111,2,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,CTSK,114,26.547280084723155,27.575284123364725,114,114,0,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,CYP1A1,120,24.524530491450573,27.54209252738913,115,120,-5,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,PRKACA,113,27.68482295585844,27.21139418831499,116,113,3,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,KDM5C,118,24.754871643831784,25.353144209354035,117,118,-1,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,CASP8,115,25.64477594464451,25.076009609886736,118,115,3,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,APOB,123,22.05516476510235,24.76866370234056,119,123,-4,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,F8,116,25.33240551792412,24.679590189846483,120,116,4,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,SHH,124,21.368955187390448,23.998049286122942,121,124,-3,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,FLT1,119,24.551593101941315,23.84673162683813,122,119,3,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,MTOR,121,22.32585577427577,21.243047955974045,123,121,2,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,PON1,122,22.125804055815617,21.1528420473037,124,122,2,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,CFTR,125,15.074098735280806,16.928919476440715,125,125,0,False,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,KNG1,126,12.45238394133412,13.984610872853128,126,126,0,False,False,False,score_AA_direction_recovery
drop_recovery_and_pathology_trait,CA2,2,77.61705714886202,76.00195025145152,1,2,-1,True,True,False,score_AA_direction_recovery;score_module_pathology_importance
drop_recovery_and_pathology_trait,CDK6,1,79.34656777665151,73.2396879587472,2,1,1,True,True,False,score_AA_direction_recovery;score_module_pathology_importance
drop_recovery_and_pathology_trait,ACHE,5,67.35091437159633,68.62191694481913,3,5,-2,True,False,False,score_AA_direction_recovery;score_module_pathology_importance
drop_recovery_and_pathology_trait,PARP1,4,68.82787111305984,65.29272151749726,4,4,0,True,True,False,score_AA_direction_recovery;score_module_pathology_importance
drop_recovery_and_pathology_trait,SYK,11,59.07862844170006,64.4509687044445,5,11,-6,True,True,True,score_AA_direction_recovery;score_module_pathology_importance
drop_recovery_and_pathology_trait,HSP90AB1,3,72.96351599301178,63.93044477467882,6,3,3,True,False,False,score_AA_direction_recovery;score_module_pathology_importance
drop_recovery_and_pathology_trait,TERT,16,57.53866507508347,62.18140224899443,7,16,-9,True,True,False,score_AA_direction_recovery;score_module_pathology_importance
